generated_status,decision,reviewer,review_notes,hr_rank,hr_frequency,ekavian_lemma,ijekavian_lemma,ikavian_suggestion,rule,family_anchor,upos,compatible_msd_slots,changed_surface_pairs,ambiguous_msd_slots,reasons
review,,,,8073,7174,nasleđe,naslijeđe,nasliđe,ije→e,,NOUN,13,13,1,no-higher-trust-family-anchor|competing-ijekavian-targets|conflicts-with-higher-trust-ekavian-map|ambiguous-surface-variants
review,,,,8079,7168,odevni,odjevni,odivni,je→e,zahtevni↔zahtjevni,ADJ,27,27,16,ambiguous-surface-variants
review,,,,8097,7148,prelaz,prilaz,,i→e,,NOUN,0,0,0,i-reflex-review-only|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,8107,7137,nežnost,nježnost,nižnost,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,8114,7129,smešno,smiješno,smišno,ije→e,smeh↔smijeh,ADV,1,1,0,fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,8127,7109,deva,diva,,i→e,,NOUN,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,8142,7092,podsetnik,podsjetnik,podsitnik,je→e,savetnik↔savjetnik,NOUN,13,13,1,ambiguous-surface-variants
review,,,,8148,7089,senjski,sinjski,,i→e,,ADJ|ADV,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,8149,7085,emigrant,imigrant,,i→e,,NOUN,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,8155,7077,sletanje,slijetanje,slitanje,ije→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,8164,7063,preteće,preteći,,i→e,,ADV,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,8172,7056,nameštanje,namještanje,namištanje,je→e,nameštaj↔namještaj,NOUN,13,13,1,ambiguous-surface-variants
accepted,,,,8195,7025,neizmerno,neizmjerno,neizmirno,je→e,namerno↔namjerno,ADV,3,3,0,
review,,,,8209,7008,nameran,namjeran,namiran,je→e,namera↔namjera,ADJ,64,64,32,ambiguous-surface-variants
review,,,,8220,6994,severno,sjeverno,siverno,je→e,,ADV,1,1,0,no-higher-trust-family-anchor|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,8254,6954,nerešen,neriješen,nerišen,ije→e,,ADJ,91,91,48,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,8258,6951,prvenac,prvijenac,prvinac,ije→e,,NOUN,14,14,0,no-higher-trust-family-anchor
review,,,,8282,6917,obolenje,oboljenje,obolinje,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,8288,6907,zdela,zdjela,zdila,je→e,dodela↔dodjela,NOUN,13,13,1,ambiguous-surface-variants
review,,,,8295,6898,izmešati,izmiješati,izmišati,ije→e,mešati↔miješati,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,8315,6883,belančevina,bjelančevina,bilančevina,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
